YEAR,B_WAE-Y,C_WAE-Y,B_WAE-A,C_WAE-A,B_YEP-A,C_YEP-A,B_RAT-A,C_RAT-A,B_LWF,C_LWF,B_BUT,C_BUT,B_WHP,C_WHP,B_WHB,C_WHB,B_SMB,C_SMB,B_LKT,C_LKT,B_RAS,C_RAS,B_SUK,C_SUK,B_CAT,C_CAT,B_PanF,C_PanF
51,0.457195945250059,0.4572,1.8101331772924,0.45208,1.25043372847991,0.29419,0.923642364428757,1,0.995798264181339,0.9958,0.853698253531672,0.8537,1.44878732057952,1.44879,0.135082484308412,0.13508,1.34084606378419,1.34085,0.978578839708923,0.97858,0.947358658876864,0.94736,0.983847802728017,0.98385,1.13939778171881,1.1394,1.03837845282358,1.03838
52,0.45538580476225,0.45539,1.80924996020036,0.45195,1.25342990877319,0.29431,0.924641918579848,1,0.995453582487256,0.99545,0.857121034340475,0.85712,1.43964061325178,1.43964,0.133850518304216,0.13385,1.34141775116133,1.34142,0.982202755841103,0.9822,0.949339214973493,0.94934,0.983545254201607,0.98355,1.14081164346356,1.14081,1.03863939405611,1.03864
53,0.453763582043124,0.45376,1.80823925516703,0.45181,1.25643685155978,0.29443,0.925567992599741,1,0.995071656479339,0.99507,0.860607247302373,0.86061,1.43083667620722,1.43084,0.132798278452484,0.1328,1.34236716534609,1.34237,0.985870600726943,0.98587,0.951214933791226,0.95121,0.98324088034472,0.98324,1.14227568258914,1.14228,1.03880596293234,1.03881
54,0.452304107567391,0.4523,1.80726018005332,0.45167,1.25937383813993,0.29455,0.926382123606241,1,0.994673238524336,0.99467,0.864138663481695,0.86414,1.42241037729042,1.42241,0.131920633532747,0.13192,1.34364655394374,1.34365,0.989506055368526,0.98951,0.952966522789391,0.95297,0.98294395992061,0.98294,1.14373500808198,1.14374,1.03887707567079,1.03888
55,0.45098105522326,0.45098,1.80643409046915,0.45155,1.26218177264135,0.29466,0.927059070332906,1,0.994279012272551,0.99428,0.867696770002963,0.8677,1.41436171650137,1.41436,0.131211142225689,0.13121,1.34519475096556,1.34519,0.993048295337709,0.99305,0.954584242646813,0.95458,0.982661946362056,0.98266,1.14514803353704,1.14515,1.03886023537399,1.03886
56,0.449767493067916,0.44977,1.80584296600211,0.45147,1.26482367122344,0.29477,0.927586011819003,1,0.993903957909253,0.9939,0.871261009624083,0.87126,1.40666483352202,1.40666,0.130660852189214,0.13066,1.34694576152897,1.34695,0.996448694059143,0.99645,0.956068651668526,0.95607,0.982400087494174,0.9824,1.14648404431514,1.14648,1.03876753037381,1.03877
57,0.448635828251972,0.44864,1.80552876470882,0.45143,1.26727732401367,0.29486,0.927960143479372,1,0.993562231022356,0.99356,0.874813437349192,0.87481,1.39927691838765,1.39928,0.130259998334719,0.13026,1.34882674981843,1.34883,0.999673872273481,0.99967,0.957424402396493,0.95742,0.982162033977918,0.98216,1.14772160098992,1.14772,1.03861304982944,1.03861
58,0.44756213044996,0.44756,1.80550246023486,0.45142,1.26953969794573,0.29495,0.928188196318397,1,0.993260222241356,0.99326,0.878335369938929,0.87834,1.39214595989675,1.39215,0.129998597223794,0.13,1.3507768181171,1.35078,1.00270454418643,1.0027,0.958663219236462,0.95866,0.981949230866582,0.98195,1.1488477790845,1.14885,1.03841388414109,1.03841
59,0.446530124837541,0.44653,1.80575549959176,0.45146,1.27161353256339,0.29503,0.928281308545715,1,0.993003085299717,0.993,0.881808919185393,0.88181,1.38521820345562,1.38522,0.129866665418029,0.12987,1.35273654420346,1.35274,1.00553172624425,1.00553,0.959798501509285,0.9598,0.981761526049291,0.98176,1.14985923344015,1.14986,1.03818629003093,1.03819
60,0.445523674279246,0.44552,1.80625157292282,0.45153,1.27351546081083,0.29511,0.928256948720324,1,0.992793293989503,0.99279,0.885223352163843,0.88522,1.37844125044226,1.37844,0.129854583395361,0.12985,1.3546561636437,1.35466,1.00815747889504,1.00816,0.960845447518706,0.96085,0.981598539248864,0.9816,1.15076006947895,1.15076,1.03794494023279,1.03794
